Date_start,Power_kW,temp_C,HR,windSpeed_m_s,windGust_m_s,pres_mbar,solarRad_W_m2,rain_mm_h,rain_day,Hour,Hol_Wknd
2017-01-30 04:00:00,136.6287377,13.019166666666665,81.7,2.757,3.3125,1024.5833333333333,1.6455,0.0,0.0,4,0.0
2017-01-30 05:00:00,136.3074622,12.856666666666667,83.69166666666668,2.3428333333333335,3.0608333333333335,1024.0,1.0546666666666666,0.0,0.0,5,0.0
2017-01-30 06:00:00,151.0369497,12.6725,86.55,2.0370833333333334,2.6415,1024.0,0.9460833333333333,0.0,0.0,6,0.0
2017-01-30 07:00:00,183.4380548,12.57,86.69166666666666,1.8240833333333333,2.30625,1024.0,2.5083333333333333,0.0,0.0,7,0.0
2017-01-30 08:00:00,262.0356466,12.628333333333332,86.05833333333334,1.5006666666666666,2.180333333333333,1024.0,79.52833333333334,0.0,0.0,8,0.0
2017-01-30 09:00:00,315.4111233,13.915,77.40833333333333,2.2466666666666666,2.9770833333333333,1024.0,245.95000000000002,0.0,0.0,9,0.0
2017-01-30 10:00:00,349.3861644,14.431666666666667,74.22500000000001,3.2128333333333337,4.4655,1023.9166666666666,335.84166666666664,0.0,0.0,10,0.0
2017-01-30 11:00:00,356.2679484,13.894166666666665,76.83333333333333,3.1971666666666665,4.800583333333333,1023.0,159.71666666666667,0.0,0.0,11,0.0
2017-01-30 12:00:00,340.5287977,13.529166666666667,78.50833333333334,3.5255833333333335,4.9478333333333335,1022.5833333333334,85.11583333333333,0.0,0.0,12,0.0
2017-01-30 13:00:00,339.0006984,13.890833333333333,71.54416666666667,4.425666666666666,5.891583333333333,1021.1666666666666,238.59,0.0,0.0,13,0.0
2017-01-30 14:00:00,348.1701314,13.985833333333334,65.55833333333334,8.030583333333334,9.832500000000001,1020.0,285.45,0.0,0.0,14,0.0
2017-01-30 15:00:00,361.6212145,13.628333333333332,68.2025,7.3485000000000005,8.721333333333334,1020.0,123.59583333333335,0.0,0.0,15,0.0
2017-01-30 16:00:00,347.3450708,13.546666666666667,70.85000000000001,5.995916666666666,7.8205,1019.0833333333334,55.24333333333333,0.0,0.0,16,0.0
2017-01-30 17:00:00,308.8575217,13.421666666666667,73.02499999999999,5.003583333333333,6.66725,1019.0,21.14725,0.0,0.0,17,0.0
2017-01-30 18:00:00,233.2786638,13.042499999999999,76.05,4.386916666666667,5.87,1019.0,2.0235,0.0,0.0,18,0.0
2017-01-30 19:00:00,198.9750217,12.597500000000002,78.60833333333333,3.5955833333333334,4.758916666666667,1018.6666666666666,1.52775,0.0,0.0,19,0.0
2017-01-30 20:00:00,166.3995697,12.094999999999999,79.75833333333334,2.9090000000000003,3.85775,1018.0,1.4332500000000001,0.0,0.0,20,0.0
2017-01-30 21:00:00,150.3408179,11.905555555555557,80.25555555555555,4.314222222222223,5.8133333333333335,1017.7777777777778,2.0340000000000003,0.0,0.0,21,0.0
2017-01-30 22:00:00,136.9066881,12.1,81.0,5.527777777777778,9.388888888888888,1008.4,0.0,0.0,0.0,22,0.0
2017-01-30 23:00:00,136.7643641,12.1,82.0,5.638888888888889,9.694444444444445,1007.8,0.0,0.0,0.0,23,0.0
2017-01-31 00:00:00,133.5057724,11.9,84.0,5.666666666666666,10.11111111111111,1007.3,0.0,0.0,0.0,0,0.0
2017-01-31 01:00:00,130.6276881,11.8,86.0,6.111111111111111,10.388888888888888,1006.7,0.0,0.0,0.0,1,0.0
2017-01-31 02:00:00,131.0287069,11.8,86.0,6.111111111111111,10.611111111111112,1006.3,0.0,0.0,0.0,2,0.0
2017-01-31 03:00:00,132.8299427,11.8,87.0,6.388888888888888,10.694444444444445,1005.3,0.0,0.0,0.0,3,0.0
2017-01-31 04:00:00,132.2845069,12.0,86.0,6.472222222222222,10.805555555555555,1005.0,0.0,0.4,0.4,4,0.0
2017-01-31 05:00:00,135.553145,12.1,86.0,6.555555555555555,11.0,1004.3,0.0,0.7,0.7,5,0.0
2017-01-31 06:00:00,152.7666049,12.2,86.0,6.555555555555555,11.305555555555555,1004.2,0.0,0.9,0.9,6,0.0
2017-01-31 07:00:00,182.1008371,11.9,89.0,6.666666666666666,10.88888888888889,1004.2,0.0,0.8,0.8,7,0.0
2017-01-31 08:00:00,260.235248,11.7,92.0,6.805555555555555,10.88888888888889,1004.1,0.0,0.9,0.9,8,0.0
2017-01-31 09:00:00,319.9188174,10.878,88.92,3.4173999999999998,4.3775,1014.0,26.294,0.5599999999999999,0.5599999999999999,9,0.0
2017-01-31 10:00:00,345.8121576,11.085833333333333,88.75833333333333,3.7929166666666667,4.717083333333334,1014.0,80.03833333333334,1.0666666666666667,1.5250000000000001,10,0.0
2017-01-31 11:00:00,373.2170624,11.464166666666666,87.15833333333335,2.9560833333333334,3.9204166666666667,1014.0,95.92083333333333,0.3833333333333333,1.9000000000000001,11,0.0
2017-01-31 12:00:00,348.5408017,11.209166666666667,88.30833333333334,3.8348333333333335,4.59125,1013.4166666666666,51.02166666666667,0.48333333333333334,2.3833333333333333,12,0.0
2017-01-31 13:00:00,351.0770991,11.875833333333333,87.64999999999999,1.2704166666666665,1.9915833333333335,1013.0,39.39083333333333,1.125,3.5083333333333333,13,0.0
2017-01-31 14:00:00,371.2927582,11.768333333333333,89.25,1.0274166666666666,1.446583333333333,1013.0,45.32833333333334,3.9499999999999997,7.416666666666667,14,0.0
2017-01-31 15:00:00,372.4761404,11.688333333333333,89.95,0.8944166666666667,1.3416666666666668,1013.0,18.639166666666668,1.7333333333333334,9.091666666666667,15,0.0
2017-01-31 16:00:00,348.9736341,11.94,89.91666666666667,2.875666666666667,4.046166666666667,1013.0,54.62083333333334,1.45,10.516666666666667,16,0.0
